Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.06608731307380245,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,-0.1221294458772837,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.06608731307380245,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,-0.1221294458772837,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.0887955270836085,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-0.06201379434858767,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.08414015280440612,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-0.2181211335545732,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.07116543082926352,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.00683599424275938,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.08974034631962935,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.26245508327965883,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.07401651799187459,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.05522137466729493,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.06833672282299919,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.36289451903356396,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.04238335638266122,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.13891803107333223,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.007785845044114392,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.44586965886409713,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.03640590222235529,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.2970627762455731,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.11441076733021394,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.5407094612982388,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.01230318341697334,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.4360884460732879,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.20500756576039691,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.6262591206100114,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,0.06938608549855907,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.5456893701264462,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,0.3331613505202302,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.7460872722970211,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,0.25784959045436073,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.6167247650569987,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,0.4830758654456573,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.8223687243688924,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,0.5656112557364028,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-0.5841862844400296,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,0.8454734498523648,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-0.8179167261893574,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,1.1230355308976918,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,0.8700669678578117,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,1.1839475997933184,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,0.8032846451635898,44
