Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.014554304556208491,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.03631858148831397,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.014554304556208491,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.03631858148831397,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.008077938077370447,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.06265525693251513,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,0.04881017547036634,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.017520912224156502,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.03637572997671871,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,0.09068597424708681,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,0.07491464489665577,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.007369817296968271,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.0672183787539698,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,0.12002706810087563,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,0.10397387194984095,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.03205377151239379,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.10193882184258532,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,0.1537643862432989,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.11738972451023771,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.05750200587668411,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.12335158330449589,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,0.16602525123883116,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.13364949576562848,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.09608115371428932,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.13758899912569417,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,0.1699315509648499,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.15049471593721306,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.1286972878005038,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.1213600461231443,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,0.16264579751588013,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,0.14685389982641328,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.11490811616865103,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.08399049091096492,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,0.1565092518690061,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,0.1316796551631841,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.08311460363403898,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,0.4415683147891593,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-0.19112220658577037,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.20183409222295348,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,0.42976755955380996,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,0.866779716996369,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-1.120556690281912,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.806318516297142,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,1.1832968267180521,44
