Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,4.3648116100000056e-07,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,4.365034865000003e-07,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,4.3648116100000056e-07,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,4.365034865000003e-07,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,1.4618067699999965e-07,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,1.4601023849999935e-07,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,7.994602499999993e-07,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,7.996530609999975e-07,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-1.1824578099999993e-07,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-1.184087749999989e-07,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,1.131623310000002e-06,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,1.1318086329999985e-06,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-3.8337763250000076e-07,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-3.835336049999988e-07,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,1.4666723854999993e-06,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,1.4668528679999975e-06,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-6.560892229999991e-07,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-6.562380634999996e-07,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,1.8578581140000025e-06,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,1.8580312345000004e-06,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-1.0187067459999998e-06,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-1.0188406360000008e-06,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,2.2134137180000015e-06,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,2.2135794715e-06,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-1.3462501854999995e-06,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-1.346377149000003e-06,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,2.531706782e-06,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,2.5318655270000003e-06,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-1.6936512099999994e-06,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-1.6937661805000013e-06,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,2.8215590249999993e-06,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,2.821710399999999e-06,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-1.9816963680000004e-06,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-1.9818036350000025e-06,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,3.1655997334999997e-06,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,3.1657371714999996e-06,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-2.199404093000001e-06,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-2.1995055284999997e-06,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,3.4198568995000015e-06,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,3.4199846189999997e-06,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-2.3262048465000017e-06,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-2.32629874e-06,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,3.7377973274999995e-06,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,3.7379162235000013e-06,44
