Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.01921595816504873,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.03375991340720241,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.01921595816504873,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.03375991340720241,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,0.03947692712853057,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.007585022629464477,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,0.00605817949237164,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.06346120794651311,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,0.06135564130018234,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.01748316435091235,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.012009261262460935,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,0.08924263411624012,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,0.07794226314104902,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.04376198570881484,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.0315222546320848,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,0.12237996776880855,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.10448206795864257,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.07695088419114227,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.0721375476505125,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,0.16344153301059283,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.13722330833916407,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.12771312052137884,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.10862905778596688,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,0.20273721139078194,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.18786441483491112,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.20169286988367108,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.16161384067000578,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,0.2542032828747772,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,0.26286483851139875,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.2896505875949046,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.2419691730182058,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,0.34860570654446865,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,0.3551045510371066,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.396536838264866,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.3305010567060016,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,0.4689805641109397,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.13586520024422488,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-0.5041722693088279,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,0.1985354842405025,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,0.19854421148525236,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.15581275468329903,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.15582004751412543,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,0.23789185992258582,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,0.2379006956827701,44
