Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.001513735112637581,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,-0.0035403442177618393,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.001513735112637581,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,-0.0035403442177618393,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.10060692262326455,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.002770551502701115,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.0030204895671093646,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.0003776242206923005,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.027322212257141036,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,0.011627448675865617,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.013482899074996573,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.061033256703459986,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.11959206041498718,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.017119620610706498,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.11850160995649563,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.1456173204930957,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.19741569649248147,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.09559852049492622,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.13458533605502576,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.265220099603726,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.2639989885377149,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.15841676407463712,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.27756874490650785,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.3827844598295055,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.5761821214520345,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.46753459152484256,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.550853533120508,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.6555859310021283,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-1.1846285972152695,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.9729244858581768,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-1.1437433021674523,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-1.0823870627499699,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-2.10438965280389,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-1.5421699179724164,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-2.077410424727255,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-1.5833382487922554,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-3.156261603624045,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-2.1202947306544435,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-3.1777188471496767,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-2.066004041126804,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-4.065963154657974,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-4.066063980851712,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-4.060804010160697,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-4.065078572712752,44
