Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.13365808655798972,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.247728429087974,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,0.13365808655798972,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,0.247728429087974,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,0.27618583833801624,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.12131244822452825,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,0.17124038538457942,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,0.4358721953728679,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,0.16910662967052525,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.0022770887831704556,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,0.19269393373275534,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,0.5847227581287084,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,0.2652332551904366,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.12721997753308223,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,0.2528050234033641,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,0.8684940121503617,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.2782340953279543,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.37152261223169214,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.11632193924569645,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,1.1516550153398457,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.3315308132116712,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.7493739812842906,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.043195835347949796,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,1.456547693229393,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.5400521121890471,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-1.3303607918409215,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.12982133093730397,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,1.8949924536021086,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,1.0221638542738458,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-2.0448447363939057,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.4545457350836428,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,2.5529138660890127,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,1.5466026788390907,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-2.7447760497269655,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-1.0697104853413952,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,3.196408932554195,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,1.9619138600787585,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,-3.246261404921414,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-1.4232175705019534,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,3.660517412682983,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,1.7385728297694314,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-2.2446087655190543,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-1.6116927303708466,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,2.3772077109313168,44
