Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,iJO1366,1
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,iJO1366,2
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,iJO1366,3
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-10,-10,1,iJO1366,4
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,iJO1366,5
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,iJO1366,6
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,iJO1366,7
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,iJO1366,8
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,iJO1366,9
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,salmonella,10
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,iJO1366,11
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,iJO1366,12
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,iJO1366,13
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,salmonella,14
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,iJO1366,15
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,iJO1366,16
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,iJO1366,17
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,salmonella,18
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,iJO1366,19
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,iJO1366,20
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,iJO1366,21
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,salmonella,22
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,iJO1366,23
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,iJO1366,24
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,iJO1366,25
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,salmonella,26
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,salmonella,27
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,iJO1366,28
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,iJO1366,29
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,salmonella,30
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,salmonella,31
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,iJO1366,32
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,iJO1366,33
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,salmonella,34
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,salmonella,35
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,iJO1366,36
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,iJO1366,37
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,salmonella,38
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,salmonella,39
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,-1,-1,1,iJO1366,40
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.005,0,0,1,iJO1366,41
iJO1366,salmonella,EX_glc__D_e,EX_cit_e,0.05,0,0,1,salmonella,42
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.005,0,0,1,salmonella,43
salmonella,iJO1366,EX_glc__D_e,EX_cit_e,0.05,0,0,1,iJO1366,44
