Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on S. enterica,KO Bound Source 2 on S. enterica,KO Strain Index,Value,Trial #
senterica_EX_glc__D_e_KO_-10,ecolik12_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-1.54482831,1
ecolik12_EX_glc__D_e_KO_-10,senterica_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-1.54482831,3
senterica_EX_glc__D_e_KO_-9,ecolik12_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-9,-10,1,-1.690404578,5
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-10,-9,1,-1.543609289,7
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.05,-10,-9,1,-1.218181142,8
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-8,-10,1,-1.689342992,9
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.05,-8,-10,1,-1.541888628,10
ecolik12_EX_glc__D_e_KO_-8,senterica_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-10,-8,1,-1.542394047,11
senterica_EX_glc__D_e_KO_-7,ecolik12_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-7,-10,1,-1.689627739,14
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.005,-10,-7,1,-1.397485198,15
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-10,-7,1,-1.074370699,16
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-6,-10,1,-2.01615729,17
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.05,-6,-10,1,-1.687827972,18
ecolik12_EX_glc__D_e_KO_-6,senterica_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-10,-6,1,-1.397256509,19
ecolik12_EX_glc__D_e_KO_-6,senterica_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.05,-10,-6,1,-1.076823953,20
senterica_EX_glc__D_e_KO_-5,ecolik12_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.005,-5,-10,1,-2.015546696,21
senterica_EX_glc__D_e_KO_-5,ecolik12_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.05,-5,-10,1,-1.685996563,22
ecolik12_EX_glc__D_e_KO_-5,senterica_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.005,-10,-5,1,-1.255251194,23
ecolik12_EX_glc__D_e_KO_-5,senterica_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.05,-10,-5,1,-0.935028389,24
senterica_EX_glc__D_e_KO_-4,ecolik12_EX_cit_e_KO_-4,EX_glc__D_e,EX_cit_e,0.005,-4,-10,1,-1.984180455,25
senterica_EX_glc__D_e_KO_-4,ecolik12_EX_cit_e_KO_-4,EX_glc__D_e,EX_cit_e,0.05,-4,-10,1,-1.683739886,26
ecolik12_EX_glc__D_e_KO_-4,senterica_EX_cit_e_KO_-4,EX_glc__D_e,EX_cit_e,0.005,-10,-4,1,-1.11518493,27
ecolik12_EX_glc__D_e_KO_-4,senterica_EX_cit_e_KO_-4,EX_glc__D_e,EX_cit_e,0.05,-10,-4,1,-0.938819025,28
senterica_EX_glc__D_e_KO_-3,ecolik12_EX_cit_e_KO_-3,EX_glc__D_e,EX_cit_e,0.005,-3,-10,1,-2.134126128,29
senterica_EX_glc__D_e_KO_-3,ecolik12_EX_cit_e_KO_-3,EX_glc__D_e,EX_cit_e,0.05,-3,-10,1,-1.833187767,30
ecolik12_EX_glc__D_e_KO_-3,senterica_EX_cit_e_KO_-3,EX_glc__D_e,EX_cit_e,0.005,-10,-3,1,-0.799430183,31
senterica_EX_glc__D_e_KO_-2,ecolik12_EX_cit_e_KO_-2,EX_glc__D_e,EX_cit_e,0.005,-2,-10,1,-2.285029034,33
senterica_EX_glc__D_e_KO_-2,ecolik12_EX_cit_e_KO_-2,EX_glc__D_e,EX_cit_e,0.05,-2,-10,1,-1.803230601,34
ecolik12_EX_glc__D_e_KO_-2,senterica_EX_cit_e_KO_-2,EX_glc__D_e,EX_cit_e,0.005,-10,-2,1,-0.663719772,35
senterica_EX_glc__D_e_KO_-1,ecolik12_EX_cit_e_KO_-1,EX_glc__D_e,EX_cit_e,0.005,-1,-10,1,-2.43682741,37
ecolik12_EX_glc__D_e_KO_-1,senterica_EX_cit_e_KO_-1,EX_glc__D_e,EX_cit_e,0.005,-10,-1,1,-0.530047189,39
senterica_EX_glc__D_e_KO_0,ecolik12_EX_cit_e_KO_0,EX_glc__D_e,EX_cit_e,0.005,0,-10,1,-0.113710541,41
senterica_EX_glc__D_e_KO_0,ecolik12_EX_cit_e_KO_0,EX_glc__D_e,EX_cit_e,0.05,0,-10,1,-0.048443269,42
ecolik12_EX_glc__D_e_KO_0,senterica_EX_cit_e_KO_0,EX_glc__D_e,EX_cit_e,0.005,-10,0,1,-0.107630385,43
ecolik12_EX_glc__D_e_KO_0,senterica_EX_cit_e_KO_0,EX_glc__D_e,EX_cit_e,0.05,-10,0,1,-0.125907179,44
