Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 1,KO Strain Index,Value,Trial #
senterica_EX_glc__D_e_KO_-10,ecolik12_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,senterica_EX_glc__D_e_KO_-10,1
ecolik12_EX_glc__D_e_KO_-10,senterica_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,senterica_EX_cit_e_KO_-10,3
senterica_EX_glc__D_e_KO_-9,ecolik12_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-9,-10,1,senterica_EX_glc__D_e_KO_-9,5
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-10,-9,1,senterica_EX_cit_e_KO_-9,7
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.05,-10,-9,1,senterica_EX_cit_e_KO_-9,8
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-8,-10,1,senterica_EX_glc__D_e_KO_-8,9
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.05,-8,-10,1,senterica_EX_glc__D_e_KO_-8,10
ecolik12_EX_glc__D_e_KO_-8,senterica_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-10,-8,1,senterica_EX_cit_e_KO_-8,11
senterica_EX_glc__D_e_KO_-7,ecolik12_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-7,-10,1,senterica_EX_glc__D_e_KO_-7,14
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.005,-10,-7,1,senterica_EX_cit_e_KO_-7,15
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-10,-7,1,senterica_EX_cit_e_KO_-7,16
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-6,-10,1,senterica_EX_glc__D_e_KO_-6,17
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.05,-6,-10,1,senterica_EX_glc__D_e_KO_-6,18
ecolik12_EX_glc__D_e_KO_-6,senterica_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-10,-6,1,senterica_EX_cit_e_KO_-6,19
ecolik12_EX_glc__D_e_KO_-6,senterica_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.05,-10,-6,1,senterica_EX_cit_e_KO_-6,20
senterica_EX_glc__D_e_KO_-5,ecolik12_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.005,-5,-10,1,senterica_EX_glc__D_e_KO_-5,21
senterica_EX_glc__D_e_KO_-5,ecolik12_EX_cit_e_KO_-5,EX_glc__D_e,EX_cit_e,0.05,-5,-10,1,senterica_EX_glc__D_e_KO_-5,22
