Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on S. enterica,KO Bound Source 2 on S. enterica,KO Strain Index,Value,Trial #
senterica_EX_glc__D_e_KO_-10,ecolik12_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-2.233995266,1
ecolik12_EX_glc__D_e_KO_-10,senterica_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-2.233995266,3
senterica_EX_glc__D_e_KO_-9,ecolik12_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-9,-10,1,-2.083106562,5
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-10,-9,1,-2.238253101,7
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.05,-10,-9,1,-1.383181581,8
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-8,-10,1,-2.075896536,9
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.05,-8,-10,1,-1.355170512,10
ecolik12_EX_glc__D_e_KO_-8,senterica_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-10,-8,1,-2.242534155,11
senterica_EX_glc__D_e_KO_-7,ecolik12_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-7,-10,1,-1.199351612,14
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.005,-10,-7,1,-2.246836152,15
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-10,-7,1,-1.403220804,16
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-6,-10,1,-1.915789207,17
senterica_EX_glc__D_e_KO_-6,ecolik12_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.05,-6,-10,1,-1.190058199,18
ecolik12_EX_glc__D_e_KO_-6,senterica_EX_cit_e_KO_-6,EX_glc__D_e,EX_cit_e,0.005,-10,-6,1,-2.251135454,19
