Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 1,KO Strain Index,Value,Trial #
senterica_EX_glc__D_e_KO_-10,ecolik12_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.00077362044315,1
ecolik12_EX_glc__D_e_KO_-10,senterica_EX_cit_e_KO_-10,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.00077362044315,3
senterica_EX_glc__D_e_KO_-9,ecolik12_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-9,-10,1,-0.0007681203405000001,5
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.005,-10,-9,1,-0.0007432734851050002,7
ecolik12_EX_glc__D_e_KO_-9,senterica_EX_cit_e_KO_-9,EX_glc__D_e,EX_cit_e,0.05,-10,-9,1,-0.0007541221711150003,8
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-8,-10,1,-0.0007623518269250004,9
senterica_EX_glc__D_e_KO_-8,ecolik12_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.05,-8,-10,1,-0.0007835306130000004,10
ecolik12_EX_glc__D_e_KO_-8,senterica_EX_cit_e_KO_-8,EX_glc__D_e,EX_cit_e,0.005,-10,-8,1,-0.00071239876579,11
senterica_EX_glc__D_e_KO_-7,ecolik12_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-7,-10,1,-0.0007760113904550003,14
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.005,-10,-7,1,-0.0006726011689750002,15
ecolik12_EX_glc__D_e_KO_-7,senterica_EX_cit_e_KO_-7,EX_glc__D_e,EX_cit_e,0.05,-10,-7,1,-0.0006725984832700001,16
