Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-2.233995265973036,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-2.233995265973036,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-2.0831065624725285,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-2.238253101102029,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-1.3831815805039174,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-2.075896535624255,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-1.3551705123456275,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-2.2425341548410764,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-1.1993516115094898,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-2.2468361524421785,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-1.4032208044005174,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-1.9157892065189257,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-1.190058199227476,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-2.2511354543546753,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-1.4132593752152616,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-1.9080620443646903,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-1.0328639702942009,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-2.2554212139286482,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-1.423284194841623,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-1.930451395586442,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-1.0234410713572526,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-2.2597170617256066,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-1.4333393658027158,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-1.775130955372859,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.8653242074801621,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-2.4380954853396624,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-1.6188482166310245,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.8830013316183569,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-2.442022175357412,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-1.4616636102103966,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-2.445750801707976,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.8580432277225443,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.8580399471699685,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-1.0290532895558804,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-1.0476072463690107,44
