Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.03349110153255061,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.03349110153255061,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.0346640961102921,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.03116633275530199,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-0.021407098559267278,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.03635572042984722,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,0.03947889745911116,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.0285589455876213,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,0.027729887667716724,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.025640476894165074,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.021531668833521308,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,0.05338758310224595,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.10725934162756791,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.022740856123576583,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.006936143431919756,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,0.049476879645319015,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.026159258899150082,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.018858038349704807,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,0.009387226683474303,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.04448347990589279,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.0411571835502787,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,0.08050095223740565,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,0.026307955338758557,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.08220229798443915,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.05734584089666218,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.03841576697672943,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.08945667979441367,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,0.019243759566318564,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.03302645077880451,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.004243533706587917,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.027068135824449658,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.020459970649946,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,0.06405728243183702,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.01755604725866415,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.016750847570947556,44
