Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.00077362044315,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.00077362044315,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.0007681203405000001,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.0007432734851050002,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-0.0007541221711150003,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.0007623518269250004,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.0007835306130000004,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.00071239876579,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.0007760113904550003,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.0006726011689750002,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.0006725984832700001,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.0007502942634750003,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.0007682817414300001,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.0006346136298700003,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.0006346110060500003,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.000743951679315,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.0007603597603800002,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.0005969188281350002,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.0005969162646950004,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.00073700383261,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.0007518218668900004,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.0005610512700400003,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.0005610487655150001,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.0007295805636300004,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.0007427913399950003,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.0005269315492000002,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.0007220182514100002,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.0007336487622450002,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.0004944834457900002,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.0007143313353350001,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.0004634464896400002,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.0007065335425350001,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.0007150827622350001,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.0004329202315300001,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.00043291794883500005,44
