Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.5772765814165202,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-0.5772765814165202,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.5758357315071607,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-0.5749580826611775,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-0.5946305485843597,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.5750706165763764,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-0.6205486457146585,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-0.5722963115941937,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.627923446224266,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-0.5691296532044694,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-0.5660549670710022,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.5852099236782111,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.6362505034978123,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-0.5658041057218108,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-0.5515267840477969,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.5855574457625372,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.6532614936939272,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-0.5614445778724062,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.5356639413067996,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.5868360032435942,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.6620861594352907,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-0.566433434433339,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.5194457992129884,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.5831057670427318,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-0.6715896588135037,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.5581434655492137,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.5867464443757346,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-0.6847090330098706,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.5514227654941606,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.5948774488767565,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.5432251086355295,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.6038821620767294,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.7104772052228685,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.5310445135021591,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.45483182915782283,44
