Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-1.5448283096986235,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,-1.5448283096986235,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-1.6904045783886839,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,-1.543609288886262,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,-1.2181811419494377,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-1.6893429916365525,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,-1.5418886282298585,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,-1.5423940466444215,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-1.6896277392215886,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,-1.3974851983982166,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,-1.0743706988087711,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-2.0161572897728046,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-1.6878279721828293,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,-1.3972565090204652,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,-1.0768239527849488,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-2.0155466958082813,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-1.6859965630836882,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,-1.2552511939403401,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,-0.9350283891137787,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-1.984180454996361,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-1.6837398864682458,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,-1.1151849297585634,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,-0.9388190253847308,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-2.134126128200016,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,-1.8331877672056314,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,-0.7994301826315875,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-2.2850290336840855,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,-1.8032306011515782,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,-0.6637197724610253,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-2.4368274103391476,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,-0.5300471890800001,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.11371054092941077,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.04844326878646049,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,-0.10763038514768455,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,-0.1259071789596638,44
