Network 1,Network 2,Carbon Source 1,Carbon Source 2,Concentration of CS1,KO Bound Source 1 on Network 1,KO Bound Source 2 on Network 2,KO Strain Index,Value,Trial #
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,senterica,1
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-10,-10,1,senterica,3
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,senterica,5
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-9,-9,1,senterica,7
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-9,-9,1,senterica,8
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,senterica,9
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-8,-8,1,senterica,10
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-8,-8,1,senterica,11
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,senterica,14
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-7,-7,1,senterica,15
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-7,-7,1,senterica,16
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,senterica,17
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,senterica,18
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-6,-6,1,senterica,19
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-6,-6,1,senterica,20
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,senterica,21
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,senterica,22
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-5,-5,1,senterica,23
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-5,-5,1,senterica,24
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,senterica,25
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,senterica,26
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-4,-4,1,senterica,27
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,-4,-4,1,senterica,28
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,senterica,29
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-3,-3,1,senterica,30
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-3,-3,1,senterica,31
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,senterica,33
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,-2,-2,1,senterica,34
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-2,-2,1,senterica,35
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,senterica,37
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,-1,-1,1,senterica,39
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.005,0,0,1,senterica,41
senterica,ecolik12,EX_glc__D_e,EX_cit_e,0.05,0,0,1,senterica,42
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.005,0,0,1,senterica,43
ecolik12,senterica,EX_glc__D_e,EX_cit_e,0.05,0,0,1,senterica,44
